,entry,title,subtitle,author,genre,mode,location,publisher,year,format,libretto,translation
16,"ABRAMO. Rappresentazione di Abramo, quando Dio gli comandò, che facesse il Sacrifizio sul Monte, d'Isaac suo Figliuolo, la quale si rappresentò la prima volta in Firenze nella Chiesa di S. Maria Maddalena, luogo detto Castelli l'anno 1449. Fu poi più volte stampata in Firenze, ed in Venezia, e per ultimo in Macerata pel Salvioni 1629 4 — Poesia di Feo. (Fabio) Belcari, Fiorentino.",Abramo,,Feo. (Fabio) Belcari,Rappresentazione,,Firenze,ultimo in Macerata pel Salvioni 1629 4 — Poesia di Feo,1449,,False,False
17,"ABSALONE, ovvero, la Superbia punita. Oratorio, — in Mantova nella Stamperia Ducale di Giambatista Grana. 1699 in 8 — Poesia d'incerto Autore.","Absalone,",", La Superbia Punita",Unknown,Unknown,,Mantova,Ducale di Giambatista Grana,1699,8,False,False
18,"ACAMANTE. Tragedia (in prosa) dedicata a Lelia Malaspina Paoletti data di Carpi il di 31. Luglio. Si legge un lungo discorso intor all'Opera sua diretto al Genio d Galantuomini. È di Personaggi trenta. — in Bologna, per Giambattista Ferroni. 1642. in 4. e 12 — di Mario Mazza.",Acamante,,Mario Mazza.,Tragedia,prose,Bologna,sonaggi trenta,1642,4,False,False
19,"ACARNE. Commedia di Aristofane tradotta dal Greco in Lingua comun d'Italia. — in Vinegia, appr. Vincenzo Valgrisi. 1545 in 8 — di Bartolommeo, e Pietro Fratelli Rositini, da Pratalboino.",Acarne,,,Commedia,,Venezia,Vincenzo Valgrisi,1545,8,False,True
20,ACCIDENTI D'AMORE. Commedia (in prosa). in Ven. appresso Angiol Salvadori. 1635. in 12. dal Dot. Fulvio Genga di Fano.,Accidenti D'Amore,,,Commedia,prose,Venezia,Angiol Salvadori,1635,12,False,False
21,"ACCIDENTI BOSCARECCI, ovvero, Pastor Incantato. Favola Pastorale (prosa). — in Ven. appresso Olivier Alberti, 1607 in 12 — di Vermiglio Manerba, da' famiglari de le Muse detto l'Accademico Assediato.","Accidenti Boscarecci,",", Pastor Incantato",Vermiglio Manerba,Favola Pastorale,prose,Venezia,Olivier Alberti,1607,12,False,False
22,"ACCIDENTI DEL VITTORIOSO GOFFREDO. Scenario. — in Venezia 1648. in 12. senza nome di Stampatore — d'Autore incerto. — Si pretende da alcuni, che con detto solo Scenario sia stata fatta la prima recita nel Teatro detto dei Sant'Apostoli, il quale ora più non sussiste.",Accidenti Del Vittorioso Goffredo,,Unknown,Scenario,,Venezia,Unknown,1648,12,False,False
23,"ACCOPPIO ARMONICO DI S. CECILIA CON S. FILIPPO NERI. Dramma Musicale cantato la Sera, in cui ricorse la Festa della medesima Santa, e si aprì il nuovo Oratorio di esso in Perugia l'anno 1689. Dedicato a Monsign. Illustrissimo, e Reverendiss. Luc'Alberto Patrizi, Vescovo di essa Città. — in Perugia per il Costantini. 1689 in 4 — Poesia d'incerto Autore.",Accoppio Armonico Di S,,Unknown,Dramma Musicale,,cui,Costantini,1689,4,False,False
24,"ACCORDI D'AMORE, E DI FORTUNA. Commedia (in prosa). — in Ven. appr. Gio. Alberti. 1614 in 12 — di Bartolommeo Tacchello, d'Arco.","Accordi D'Amore, E Di Fortuna",,Bartolommeo Tacchello,Commedia,prose,Venezia,Alberti 1614,1614,12,False,False
25,"A CHI BEN OPERA ANCHE IL SEPOLCRO È FORTUNA. Opera scenica (in prosa). — in Parma, e in Piacenza, per Alberto Pazzoni, e Paolo Monti. 1694. in 8, ed in Bologna nella Stamperia del Longhi. 1695 in 12 — del Dott. Giorgio Ippolito Giorgi.",A Chi Ben Opera Anche Il Sepolcro È Fortuna,,,Opera scenica,prose,Parma,Longhi,1695,8,False,False
26,"ACHILLE PLACATO. Tragedia rappresentata nel Teatro di San Cassiano di Venezia l'anno 1707 — in Venezia, appresso Marino Rossetti. 1707 in 12 — Poesia di Urbano Rizzi, di Trivigi. — Musica di Antonio Lotti, Veneziano.",Achille Placato,,Urbano Rizzi,Unknown,,Venezia,Marino Rossetti,1707,12,True,False
27,"ACHILLE IN SCIRO. Dramma rappresentato l'anno 1663. in Ferrara nel Teatro di Santo Stefano. — in Ferrara, per gli Eredi del Suzzi. 1663. in 12 — Poesia del Marchese Ippolito Bentivoglio, Ferrarese, Patrizio Veneto. — Replicata l'anno 1664. in Venezia nel Teatro di S. Salvatore. in Ven. per Stefano Curti. 1664. in 12 — con la Musica di Giovanni Legrenzi, Bergamasco, Maestro della Cappella Ducale di San Marco — Replicato nel Teatro Formagliari di Bologna l'anno 1673.",Achille In Sciro,,Marchese Ippolito Bentivoglio,Dramma,,Ferrara,Eredi del Suzzi,1663,12,True,False
28,"ACHILLE IN SCIRO. Dramma recitato in Vienna l'anno 1736. per le felicissime Nozze de Sereniss. Principi Maria Teresa Arciduchessa d'Austria, e Francesco III. Duca di Lorena. — in Vienna, appresso Gio. Pietro Van Ghelen. 1736. in 8 — Poesia dell'Ab. Pietro Metastasio, Romano, tra gli Arcadi Artino Corasio. — Musica di Antonio Caldara, Veneziano.",Achille In Sciro,,Pietro Metastasio,Dramma,,Vienna,le felicissime Nozze de Sereniss,1736,8,True,False
29,"ACHILLE IN TESSAGLIA. Trattenimento Musicale nel felicissimo dì natalizio del Serenissimo Gioseffo d'Austria l'anno 1681 — in Vienna d'Austria, per Gio. Cristoforo Cosmerovio. 1681 in 4 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Achille In Tessaglia,,Niccolò Minato,Unknown,,Vienna,Cristoforo Cosmerovio,1681,4,True,False
30,"ACHILLE IN TROIA. Tragedia dedicata all'Alt. Sereniss. di Antonio I. Duca di Parma, e di Piacenza. — in Verona, per Gio. Alberto Tumermanni. 1728 in 4 — Poesia del Co. Giannicola Montanari, di Verona, tra gli Arcadi Dalco Suadeleo.",Achille In Troia,,Giannicola Montanari,Tragedia dedicata,,Verona,Alberto Tumermanni,1728,4,False,False
31,"ACI. Favola Marittima. — in Venezia, per Giambatista Ciotti. 1660. in 4 — Poesia di Scipione di Manzano.",Aci,,Scipione di Manzano.,Favola Marittima,,Venezia,Giambatista Ciotti,1660,4,False,False
32,"ACQUISTI DEL CIELO. Dialogo — Poesia di Giuseppe Cafora, di Palermo.",Acquisti Del Cielo,,Giuseppe Cafora,Dialogo —,,,,,,False,False
33,"ACQUISTO SACRO DEL SANTO SEPOLCRO. Opera Drammatica. — in Padova per il Pasquati. 1657 in 4 — Poesia di Anselmo Marconi, Romano, Cancell. dell'Accademia de' Ricovrati di Padova.",Acquisto Sacro Del Santo Sepolcro,,Anselmo Marconi,Opera Drammatica,,Padova,Pasquati,1657,4,False,False
34,"ACRIPANDA. Tragedia. — in Firenze, per il Sermatelli. 1591 in 8 — in Venezia, per Paolo Ugolino. 1592. in 12 — ivi, per Pietro Bertano. 1610 in 12 — ed in Vicenza, appresso Francesco Grossi. 1617. in 12— Poesia di Antonio Decio, da Orte.",Acripanda,,Antonio Decio,Tragedia,,Firenze,Sermatelli,1591,8,False,False
35,"ACRISIO. Favola Boschereccia in Siena, per Silvestro Marchetti. 1606. in 8 — Poesia di Marzio Bartolini, di Arcidosso, Accad. Filomato.",Acrisio,,Marzio Bartolini,Favola Boschereccia,,Siena,Silvestro Marchetti,1606,8,False,False
36,"ADALBERTO, ovvero, La forza dell'astuzia Femminile. Dramma alle Augustissime Maestà Cesaree, nel Carnevale dell'anno 1697 — in Vienna d'Austria, appresso Susanna Cristina Vedova di Matteo Cosmerovio. 1697 in 8 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.","Adalberto,",", La Forza Dell'Astuzia Femminile",Niccolò Minato,Unknown,,Vienna,Susanna Cristina Vedova di Matteo Cosmerovio,1697,8,True,False
37,"ADALINDA, o siano Gl'Inganni Innocenti. Rappresentata nella Città di Bologna l'anno 1675. d'incerto Autore.","Adalinda,",No Gl'Inganni Innocenti,Unknown,Rappresentata nella,,,,1675,,False,False
38,"ADAMIRA, ovvero, la Statua dell'Onore. Opera Scenica (in prosa). — in Ven. appr. Giacomo Batti. / 1657. in 12 — in Perugia, per Sebastian Zecchini, 1659. in 12 — in Venez. per il Pezzana 1662 in 12 — ed in Bologna, per Giacomo Monti. Senz'anno. in 12. E la stessa che l'Amore nella Statua, di Giacinto Andrea Cicognini, Fiorentino.","Adamira,",", La Statua Dell'Onore",,Opera Scenica,prose,Venezia,Pezzana 1662 in 12 — ed in Bologna,Unknown,12,False,False
39,"ADAMIRO. Dramma. — Poesia di Baldissera Pisani, Napoletano.",Adamiro,,Baldissera Pisani,Dramma,,,,,,False,False
40,"ADAMIRO. Dramma recitato in Santa Margarita di Treviso l'anno 1687. In Trevigi, Per Pasqualin da Ponte. 1686. in 12 — Poesia d'incerto Autore.",Adamiro,,Unknown,Dramma,,Santa,Pasqualin da Ponte,1687,12,False,False
41,"ADAMO in Perugia, per il Bartoli. 1641. in 12 — Poesia di Giambatista Andreini, Fiorentino.","Adamo In Perugia, Per Il Bartoli",,Giambatista Andreini,1641,,Perugia,Bartoli,1641,12,False,False
42,"ADAMO CADUTO. Tragedia Sacra. in Cossenza, per Giambatista Moro, e Francesco Rodella. 1647 in 8 — Poesia di F. Seraffino della Salandra, Predicat. Lett. e Diffinit. della Provincia Riformata di Basilicata.",Adamo Caduto,,F. Seraffino della Salandra,Tragedia Sacra,,Cossenza,Giambatista Moro,1647,8,False,False
43,"ADARCONTE. Tragedia (in prosa). — in Roma, per Michiel Ercole. 1676.",Adarconte,,,Tragedia,prose,Roma,Michiel Ercole,1676,,False,False
44,"ADELAIDE. Commedia (in prosa) rappresentata dagli Accademici Infuocati alla Sereniss. Violante Beatrice di Baviera, Principessa di Toscana. — in Firenze, per Vincenzo Vangelisti. 1689. in 12 — di Autore incerto.",Adelaide,,Autore incerto.,Commedia,prose,Firenze,Vincenzo Vangelisti,1689,12,False,False
45,"ADELAIDE. Dramma rappresentato nel Teatro di San Salvatore di Venezia l'anno 1672 — in Ven. appresso Francesco Nicolimi. 1672 in 12 — Poesia. di Pietro Dolfino, Patrizio Veneto. — Musica di Antonio Sartorio, Veneziano, Vice Maestro della Cappella Ducale di S. Marco.",Adelaide,,,Unknown,,Venezia,Francesco Nicolimi,1672,12,True,False
46,"ADELAIDE. Dramma rappresentato in Firenze nel Teatro di Via del Cocomero l'anno 1725 — in Firenze nella Stamperia di S. A. R. per li Tartini, e Franchi. 1725 in 8 — Poesia del Dottor Antonio Salvi, Fiorentino. Replicato l'anno stesso nel Teatro Formagliari di Bologna. — Musica di Giuseppe Maria Buini, Bolognese, e di altri ed in Venezia nel Teatro di S. Cassiano l'anno 1729. In Venezia appr. Marino Rossetti. 1729 in 12 — Musica di Giuseppe Maria Orlandini, Bolognese.",Adelaide,,Dottor Antonio Salvi,Unknown,,Firenze,di S,1725,8,True,False
47,"ADELAIDE REGIA PRINCIPESSA DI SUSA. Dramma rappresentato avanti l'Alt. Elettorale del Sereniss. Ferdinando Maria Duca dell'una, e dell'altra Baviera, &c. &c. l'anno 1669. in 4 — Poesia di Giambatista Rodoteo, Veneziano. — Replicato in Venezia nel teatro alli Saloni l'anno 1670. In Ven. per li Bertanni, 1670. in 12 — Musica di Giulio Riva, Medico Veneziano. — Questo. è il primo Dramma, che si sia recitato in quel Teatro.",Adelaide Regia Principessa Di Susa,,Giambatista Rodoteo,Dramma,,Venezia,li Bertanni,1669,4,True,False
48,"ADELAIDE. Tragedia (in prosa) — in Modona, per Bartolommeo Soliani. 1711 in 8 — del Dott. Alfonso Cavazzi, Modonese.",Adelaide,,,Tragedia,prose,Modona,Bartolommeo Soliani,1711,8,False,False
49,"ADELFI. Commedia di Terenzio di latino in volgare tradotta (in prosa) in Ven. per Jacob da Borgo Franco Pavese del Mese di Marzo 1538. in 8. con le altre cinque, del medesimo Autore. — d'Incerto.",Adelfi,,Unknown,Commedia,prose,volgare,Jacob da Borgo Franco Pavese del Mese di Marzo 1538,1538,8,False,True
50,"ADELFI. Commedia di Terenzio tradotta in Lingua Italiana (in prosa) in Ven. senza Stampatore, 1538. in 12 — con le altre cinque del medesimo Autore. — d'Incerto.",Adelfi,,Unknown,Commedia,prose,Venezia,Unknown,1538,12,False,True
51,"ADELFI. Commedia di Terenzio tradotta già in Italiano (in prosa) unita alle altre dello stesso Terenzio emendate, e corrette dalli Manucci Figliuoli di Aldo. — in Ven. nelle Case de Figliuoli di Aldo Manuccio. 1544. e 1546. in 8 — d'Incerto.",Adelfi,,Unknown,Commedia,prose,Italiano,,1544,8,False,True
52,"ADELFI. Commedia di Terenzio tradotta in Italiano (in prosa). — in Ven. presso il Giolito. 1554 in 12 — di Alberto Lollio, Ferrarese.",Adelfi,,Alberto Lollio,Commedia,prose,Italiano,Giolito,1554,12,False,True
53,"ADELFI. Commedia di Terenzio tradotta in lingua Italiana (in prosa) con ispiegazioni, e comenti, e con le altre cinque di Terenzio, — in Venezia 1575 in 4 — di Giovanni Fabrini di Figline.",Adelfi,,Giovanni Fabrini di Figline.,Commedia,prose,Venezia,,1575,4,False,True
54,"ADELFI. Commedia di Terenzio tradotta (in verso). — In Roma, per Bartolommeo Zanetti. 1612 in 12 — Poesia di Cristoforo Rosario, di Spoletti.",Adelfi,,Cristoforo Rosario,Commedia,,Roma,Bartolommeo Zanetti,1612,12,False,True
55,"ADELFI. Commedia di Terenzio tradotta (in verso) in Urbino, alle spese di Girolamo Mainnodi. 1736. fol. con il latino di rinçontro. — Poesia di Monsign. Niccolò Fortiguerra, di Pistoia.",Adelfi,,Monsign. Niccolò Fortiguerra,Commedia,,Urbino,,1736,,False,True
56,"ADMETO. Tragedia recitata in Bologna l'anno 1626. nella Sala dell'Autore. — in Bologna, per gli Eredi del Rossi, 1629 in 12 — Ed ivi, per il Tebaldini. 1634 in 12 — Poesia dell'Accademico Caliginoso, cioè, Melchior Zoppio, Bolognese.",Admeto,,Accademico Caliginoso,Tragedia recitata,,Bologna,Eredi del Rossi,1629,12,False,False
57,"ADOALDO FURIOSO. Dramma rappresentato nel Teatro di S. Mosè di Venezia l'anno 1707 — in Ven. per Carlo Buonarrigo. 1727 in 12 — Poesia di Antonio Maria Lucchini, Veneziano. — Musica. di Giacomo Macani, Romano.",Adoaldo Furioso,,Antonio Maria Lucchini,Dramma,,Venezia,Carlo Buonarrigo,1727,12,False,False
58,"ADONE. Favola Tragica Boschereccia. in Genova, per Pietro Gio. Calenzano, e Gio. Maria Faroni. 1636. in 12 — Poesia di Vincenzo Renieri, Accademico Filomato.",Adone,,Vincenzo Renieri,Favola Tragica,,Genova,Calenzano e,1636,12,False,False
59,"ADONE. Pastorale Drammatica. — in Napoli, per Tarquinio Longo. 1614. in 4. con le altre Poesie dell'Autore— Poesia di Marcello—Macedonio.",Adone,,,Pastorale Drammatica,,Napoli,Tarquinio Longo,1614,4,False,False
60,"ADONE. Tragedia Musicale rappresentata in Venezia nel Teatro de' SS. Gio. e Paolo. — in Ven. per il Sarzina. 1640 in 12 — Poesia di Paolo Vendramino, Patrizio Veneto. — Musica di Claudio Monteverde, Veneziano, Maestro della Cappella Ducale di S. Marco.",Adone,,Paolo Vendramino,Tragedia Musicale,,Venezia,Sarzina,1640,12,True,False
61,"ADONE IN CIPRO. Dramma rappresentato l'anno 1676. in Venez. nel Teatro di S. Salvatore. — in Ven. per Gio. Francesco Valvasense. 1676. in 12 — Poesia del Dott. Gianmatteo Giannini, Veneziano. — Musica di D. Giovanni Legrenzi, Veneziano.",Adone In Cipro,,Gianmatteo Giannini,Dramma,,Venezia,Francesco Valvasense,1676,12,True,False
62,"ADORAZIONE DE' MAGI. Opera Drammatica. — in Firenze, nella Stamperia di Filippo Popiri, e Franc. Sabbatini. 1642 in 12 — Poesia di Alessandro Adimari, Fiorentino.",Adorazione De' Magi,,Alessandro Adimari,Opera Drammatica,,Firenze,di Filippo Popiri,1642,12,False,False
63,"ADORAZIONE DE' MAGI. Dramma Musicale. — in Ven. appr. Angiolo Bosio, e Zaccheria Conzatti, 1676. in 12. con le Poesie postume dell'Autore. — Poesia di Antonio Abati, di Ugubbio.",Adorazione De' Magi,,Antonio Abati,Dramma Musicale,,Venezia,Angiolo Bosio,1676,12,False,False
64,"ADRASTO. Tragedia (in prosa). — in Palermo, appresso Bua, e Camagna. 1669 in 8 — di Giuseppe Tristaino, Siciliano.",Adrasto,,Giuseppe Tristaino,Tragedia,prose,Palermo,Bua,1669,8,False,False
65,"ADRASTO, o sia, Dal suo stesso livor la frode oppressa. Opera Scenica (in versi sciolti) rappresentata nel Teatro di San Samuele di Venezia l'anno 1728 — in Ven. appr. Alvise Valvasense. 1728 in 12 — Poesia di L. B. c.8.","Adrasto,",", Dal Suo Stesso Livor La Frode Oppressa",L. B. c.8.,Opera Scenica,verse,Venezia,Alvise Valvasense,1728,12,False,False
66,"ADRIA. Dramma Marittimo (in cinque Atti), nel quale si loda la Città di Venezia, — in Roma, per Francesco Gonzaga. 1715. in 8. con le altre Poesie dell'Autore. — Poesia di Pier Jacopo Martello, Bolognese.",Adria,,Pier Jacopo Martello,Dramma Marittimo,,Roma,Francesco Gonzaga,1715,8,False,False
67,"ADRIANA. Tragedia (in versi sciolti). in Vinegia, appr. Domenico Farri, 1578. in 12 — ivi, presso Fabio e Agostino Zoppini Fratelli, 1582. e 1586 in 12 — ivi, appr. i Sessa. 1610. in 12 — ivi, appr. Antonio Turrini. 1612 in 12 — in Milano, presso Giambatista Bidelli. 1619. in 12 — ed in Ven. per lo Spineda. 1626. in 12 — Poesia di Luigi Grotto, Cieco di Adria.",Adriana,,Luigi Grotto,Tragedia,verse,Venezia,Domenico Farri,1586,12,False,False
68,"ADRIANO. Tragedia di Giuseppe Squillaci, di Catania.",Adriano,,,Tragedia,,,,,,False,False
69,"ADRIANO SUL MONTE CASIO. Dramma rappresentato in Vienna d'Austria nel felicissimo dì Natalizio dell'Imper. Leopoldo l'anno 1677. per comando della Imperatrice Eleonora Maddalena Teresa, — in Vienna, per Gio. Cristoforo Cosmerovio. 1677 in 8. — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Adriano Sul Monte Casio,,Niccolò Minato,Dramma,,Vienna,comando della Imperatrice Eleonora Maddalena Teresa,1677,8,True,False
70,"ADRIANO IN SIRIA. Dramma rappresentato nella Ces. Corte per il Nome gloriosissimo della S. C. R. M. di Carlo VI. Imp. de' Romani sempre Augusto, per comando della S. C. R. M. di Elisabetta Cristina Imperadrice Regnante l'anno 1732 — in Vienna, appr. Gio. Pietro Van Ghelen, 1732 in 8. — Poesia dell'Abate Metastasio, Romano. — Musica di Antonio Caldara, Veneziano, Vice Maestro di Cappella dell'Imperadore. — Replicato l'anno 1733. in Venezia nel Teatro di S. Gian—Grisostomo. — in Ven. presso Carlo Buonarrigo. 1733 in 12 — Musica di Gimuniano, Giacomelli, Parmigiano, Maestro di Cappella del Duca di Parma. — Replicato nello stesso Teatro l'anno 1740. con moltissimi cambiamenti. — In Venez. presso Marino Rossetti. 1740. 12. — Musica di Antonio Giai.",Adriano In Siria,,Metastasio,Dramma,,Vienna,Nome gloriosissimo della S,1732,8,True,False
71,ADULATORE. Commedia (in prosa). — Ven. per il Bettinelli. 1740 in 8 — di Gio. Camillo Canzachi.,Adulatore,,Gio. Camillo Canzachi.,Commedia,prose,,Bettinelli,1740,8,False,False
72,"ADUNANZA DEGLI SPENSIERATI. Prologo al Pastor Fido. — Poesia di Niccolò Corradini, della Mirandola.",Adunanza Degli Spensierati,,Niccolò Corradini,Prologo al,,,,,,False,False
73,"AFFANNATORE. Commedia di Terenzio (in verso sciolto) tradotta in Italiano. — in Ven. senza Stampatore, che per altro è Cristoforo Zane — 1728 in 8 — Poesia di Luisa Bergalli, Veneziana, tra gli Arcadi Irminda Partenide.",Affannatore,,Luisa Bergalli,Commedia,,Italiano,Unknown,1728,8,False,True
74,"AFFARI ED AMORI, o sia Gratitudine umana. Dramma. — in Milano, per Giuseppe Malatesta 1702. in 12. nel quarto Volume dell'Opere dell'Autore. — Poesia di Carlo Maria Maggi, Milanese.","Affari Ed Amori,",Gratitudine Umana,Carlo Maria Maggi,Dramma,,Milano,Giuseppe Malatesta 1702,1702,12,False,False
75,"AFFETTI AMOROSI. Favola Boschereccia. — in Ven. per Riccardo Amadino. 1590 e 1592 in 12 — Poesia di Tranquillo Ambrosini, di Sinigaglia.",Affetti Amorosi,,Tranquillo Ambrosini,Favola Boschereccia,,Venezia,Riccardo Amadino,1592,12,False,False
76,"AFFETTI GIOVENILI. Opera Morale (in prosa, ed in cinque Atti), nella quale si rappresenta il Dottorato, il Cavalierato, e la Religione, con sei Intermedi apparenti (in versi) il Caos, la Natura, l'Arme, le Lettere, la Religione, e l'Immortalità, recitata nell'illustre, e molto magnifica Accademia di Murano, &c. — in Venezia, appresso Giambatista Colonini. 1605 in 8 — di Tommaso Buoni, Lucchese, Accademico Romano.",Affetti Giovenili,,Tommaso Buoni,Opera Morale,prose,Venezia,Giambatista Colonini,1605,8,False,False
77,"AFFETTI DEL MONDO COMBATTUTE DALL AMOR DEL CIELO. Dramma. — in Parma, nella Stamperia Ducale. 1693 in 8 — Poesia d'incerto Autore.",Affetti Del Mondo Combattute Dall Amor Del Cielo,,Unknown,Dramma,,Parma,Ducale,1693,8,False,False
78,"AFFETTI PIÙ GRANDI VINTI DAL PIU GIUSTO. Dramma per Musica nel felicissimo giorno Natalizio della S. C. R. M. di Giuseppe I. Re de' Romani, per comando della S. C. R. M. di Amalia Wilelmina Regina de' Romani l'anno 1701 — in Vienna, appr. Susanna Cristina Vedova di Matteo Cosmerovio. 1701 in 8 — Poesia di Donato Cupeda. — Musica di Gio. Bononcini, Bolognese.",Affetti Più Grandi Vinti Dal Piu Giusto,,Donato Cupeda. — Musica di Gio. Bononcini,Dramma,,Vienna,comando della S,1701,8,True,False
79,"AFFETTI. Ragionam. Famil. — Venezia, per il Simberti 1570 in 8 — ivi per il Bonibelli. 1596 in 8 — ivi per i Sessa. 1596 e 1597 in 12 — ivi per il Spineda, 1608. in 12 — di Bernardino Pino da' Cagli.",Affetti,,Bernardino Pino da Cagli.,Ragionam,,,Simberti 1570 in 8 — ivi per il Bonibelli,1570,8,False,False
80,"AFFLITTI CONSOLATI. Commedia (in prosa). — in Ven. appr. Sebastiano de Combi, 1606 in 12 — di Alfonso Romei, di Ferrara.",Afflitti Consolati,,Alfonso Romei,Commedia,prose,Venezia,Sebastiano de Combi,1606,12,False,False
81,"AFFRICA LIBERATA. Favola Tragica Regia Pastorale. — in Piacenza, per Gio. Antonio Ardizzoni, 1643. in 8 — Poesia di Bartolommeo Lucchini, tra gli Accademici Novelli di Codogno detto il Risorgente.",Affrica Liberata,,Bartolommeo Lucchini,Favola Tragica,,Piacenza,Antonio Ardizzoni,1643,8,False,False
82,"AFFRODITE. Tragedia. — in Verona, per Sebastiano, e Gio. delle Donne. 1578 in 8 — Poesia di Adriano Valerino, Veronese.",Affrodite,,Adriano Valerino,Tragedia,,Verona,Sebastiano,1578,8,False,False
